robust_rank,aggressive_rank,slug,self_score,self_time_s,average_cross_score,worst_cross_score,best_cross_score,tyre_set_id,tyre_compound,source_profiles
1,29,unity_sqrt_only_margin_0p00,1410005.751,5167.009,1410005.751,1410005.751,1410005.751,1,Soft,unity_sqrt_only_margin_0p00
2,30,unity_sqrt_plus_inside_margin_0p20,1407377.257,5170.224,1407377.257,1407377.257,1407377.257,1,Soft,unity_sqrt_plus_inside_margin_0p20
3,31,unity_sqrt_only_margin_0p05,1406439.200,5171.373,1406439.200,1406439.200,1406439.200,1,Soft,unity_sqrt_only_margin_0p05
4,32,unity_sqrt_only_margin_0p10,1402875.833,5175.748,1402875.833,1402875.833,1402875.833,1,Soft,unity_sqrt_only_margin_0p10
5,33,unity_sqrt_plus_inside_margin_0p30,1400252.630,5178.978,1400252.630,1400252.630,1400252.630,1,Soft,unity_sqrt_plus_inside_margin_0p30
6,34,unity_sqrt_only_margin_0p15,1399315.650,5180.134,1399315.650,1399315.650,1399315.650,1,Soft,unity_sqrt_only_margin_0p15
7,35,unity_sqrt_only_margin_0p20,1395758.652,5184.530,1395758.652,1395758.652,1395758.652,1,Soft,unity_sqrt_only_margin_0p20
8,36,unity_sqrt_only_margin_0p30,1388654.206,5193.357,1388654.206,1388654.206,1388654.206,1,Soft,unity_sqrt_only_margin_0p30
9,25,unity_sqrt_plus_inside_margin_0p00,1421664.732,5152.846,1221507.753,220722.857,1421664.732,1,Soft,unity_sqrt_plus_inside_margin_0p00
10,28,unity_sqrt_plus_inside_margin_0p15,1410944.348,5165.863,1220328.197,267247.442,1410944.348,1,Soft,unity_sqrt_plus_inside_margin_0p15
11,26,unity_sqrt_plus_inside_margin_0p05,1418088.085,5157.174,1218497.344,220543.639,1418088.085,1,Soft,unity_sqrt_plus_inside_margin_0p05
12,27,unity_sqrt_plus_inside_margin_0p10,1414514.624,5161.513,1215489.538,220364.107,1414514.624,1,Soft,unity_sqrt_plus_inside_margin_0p10
13,17,table_sqrt_only_margin_0p00,1604145.481,4949.541,1145856.057,229277.207,1604145.481,1,Soft,table_sqrt_only_margin_0p00
14,18,table_sqrt_plus_inside_margin_0p20,1600418.962,4953.380,1143317.334,229114.078,1600418.962,1,Soft,table_sqrt_plus_inside_margin_0p20
15,19,table_sqrt_only_margin_0p05,1600405.117,4953.394,1143307.469,229112.172,1600405.117,1,Soft,table_sqrt_only_margin_0p05
16,20,table_sqrt_only_margin_0p10,1596667.921,4957.256,1140760.903,228946.866,1596667.921,1,Soft,table_sqrt_only_margin_0p10
17,21,table_sqrt_plus_inside_margin_0p30,1592948.217,4961.111,1138226.554,228783.227,1592948.217,1,Soft,table_sqrt_plus_inside_margin_0p30
18,22,table_sqrt_only_margin_0p15,1592933.893,4961.126,1138216.358,228781.289,1592933.893,1,Soft,table_sqrt_only_margin_0p15
19,23,table_sqrt_only_margin_0p20,1589203.034,4965.005,1135673.836,228615.440,1589203.034,1,Soft,table_sqrt_only_margin_0p20
20,24,table_sqrt_only_margin_0p30,1581750.824,4972.791,1130594.856,228282.921,1581750.824,1,Soft,table_sqrt_only_margin_0p30
21,16,table_sqrt_plus_inside_margin_0p15,1604159.088,4949.527,950229.148,229279.097,1604159.088,1,Soft,table_sqrt_plus_inside_margin_0p15
22,13,table_sqrt_plus_inside_margin_0p00,1615398.469,4938.021,922585.504,229772.539,1615398.469,1,Soft,table_sqrt_plus_inside_margin_0p00
23,14,table_sqrt_plus_inside_margin_0p05,1611648.841,4941.848,920628.584,229608.327,1611648.841,1,Soft,table_sqrt_plus_inside_margin_0p05
24,15,table_sqrt_plus_inside_margin_0p10,1607902.381,4945.683,918673.114,229443.846,1607902.381,1,Soft,table_sqrt_plus_inside_margin_0p10
25,7,unity_sqrt_plus_outside_margin_0p00,2186618.928,4463.976,896152.843,250919.800,2186618.928,1,Soft,unity_sqrt_plus_outside_margin_0p00
26,8,unity_sqrt_plus_outside_margin_0p05,2182431.461,4466.829,894668.966,250787.718,2182431.461,1,Soft,unity_sqrt_plus_outside_margin_0p05
27,9,unity_sqrt_plus_outside_margin_0p10,2178246.901,4469.687,893185.934,250655.451,2178246.901,1,Soft,unity_sqrt_plus_outside_margin_0p10
28,10,unity_sqrt_plus_outside_margin_0p15,2174065.252,4472.551,891703.749,250522.998,2174065.252,1,Soft,unity_sqrt_plus_outside_margin_0p15
29,11,unity_sqrt_plus_outside_margin_0p20,2169886.518,4475.421,890222.411,250390.358,2169886.518,1,Soft,unity_sqrt_plus_outside_margin_0p20
30,12,unity_sqrt_plus_outside_margin_0p30,2161537.805,4481.175,887262.279,250124.515,2161537.805,1,Soft,unity_sqrt_plus_outside_margin_0p30
31,1,table_sqrt_plus_outside_margin_0p00,2414014.240,4319.163,617086.550,257701.012,2414014.240,1,Soft,table_sqrt_plus_outside_margin_0p00
32,2,table_sqrt_plus_outside_margin_0p05,2409674.805,4321.754,616260.972,257578.205,2409674.805,1,Soft,table_sqrt_plus_outside_margin_0p05
33,3,table_sqrt_plus_outside_margin_0p10,2405338.056,4324.350,615435.702,257455.231,2405338.056,1,Soft,table_sqrt_plus_outside_margin_0p10
34,4,table_sqrt_plus_outside_margin_0p15,2401003.999,4326.950,614610.741,257332.090,2401003.999,1,Soft,table_sqrt_plus_outside_margin_0p15
35,5,table_sqrt_plus_outside_margin_0p20,2396672.637,4329.555,613786.090,257208.781,2396672.637,1,Soft,table_sqrt_plus_outside_margin_0p20
36,6,table_sqrt_plus_outside_margin_0p30,2388018.018,4334.779,612137.718,256961.658,2388018.018,1,Soft,table_sqrt_plus_outside_margin_0p30
